state,gradRate,percentFinancialAid,livingPrice,percentWomen,percentOnlyRemote,percentSomeRemote,percentNoRemote
AK,43.33333333,88,24580,56.33333333,23.66666667,11,65.33333333
AL,48.375,94,30738.125,64,11.625,16.375,71.875
AR,45.5,92,25388.25,53,12.25,17.5,70.25
AZ,50.4,91.4,28361.4,54.6,26.4,26.8,46.8
CA,51.30434783,87.39130435,41266.6087,50.95652174,7,14,78.95652174
CO,56.5,96,38946.5,57,16,16.5,66.5
CT,40.33333333,98,30941.33333,72.66666667,21.66666667,19.66666667,58.33333333
DE,42,100,38717,56,0,0,100
FL,49.77777778,86.88888889,35109.55556,48.33333333,21.66666667,25.88888889,52.33333333
GA,35.3,93.8,26647.8,61,8.2,27.4,64.4
HI,40,84.5,21459,57.75,9,19.75,71.25
IA,55.33333333,97.44444444,33859.55556,59.77777778,24.11111111,14.77777778,60.77777778
ID,47.25,88,22464.25,59.25,30.25,25,45
IL,63.75,93,40633.5,46.125,5.625,5,89.375
IN,56.125,95.375,38101.625,58.25,3.875,16.375,79.625
KS,48.125,92.25,24944.875,53,11.125,12.375,76.5
KY,44,96.66666667,29788.33333,54.66666667,10,22,68
LA,85,80,69764,58,3,6,90
MA,66.16666667,93.55555556,55219.5,57.11111111,5.166666667,6.888888889,87.94444444
MD,65,86.75,43648.25,44.375,6.5,5.75,87.75
ME,57.18181818,89.90909091,30437.36364,58.72727273,14.63636364,24.54545455,60.63636364
MH,11,96,9415,49,3,0,97
MI,64,98.71428571,39131.42857,59.85714286,8,9.714285714,82.28571429
MN,59.5,80.8,29112.2,56.5,12.7,12.5,74.8
MO,49.81818182,94.54545455,30103.09091,55.27272727,11.27272727,19.81818182,69.09090909
MS,47.5,97.75,14655.5,51.5,33.5,25,41.25
MT,35,88,16731,45,21,24,55
NC,50.21428571,91,35352.07143,54.71428571,10.85714286,11.85714286,77.21428571
ND,49,93,15440,43,48,18,34
NE,43.2,92.2,18967.4,66.4,16.8,22.4,60.8
NH,52,88.8,41071,56.4,7.8,17.2,75.2
NJ,51.57142857,87.14285714,36928.42857,38.28571429,4.142857143,11.85714286,84
NM,25.875,92.625,18995.75,60.25,26.5,26.125,47.375
NY,58.83333333,88.92857143,40713.97619,50.71428571,3.714285714,11.85714286,84.42857143
OH,57.5,95.71428571,39332.42857,55.28571429,6.5,10.35714286,83.14285714
OK,42,92.71428571,25401.14286,52.85714286,8.571428571,24.28571429,67.28571429
OR,41.6,92.4,34217.8,61.2,14,11.6,74
PA,63.37037037,92.22222222,47649.2963,57.92592593,4.62962963,12.03703704,83.2962963
PR,40.33333333,75.66666667,17047.33333,58.33333333,5.666666667,12.33333333,81.66666667
RI,83.5,79.5,63898,59,5.5,5.5,89
SC,52.16666667,95.83333333,39986.66667,48.66666667,8,9.5,82.66666667
SD,58.5,97.25,31661.5,59,21.75,13.5,64.75
TN,47.16666667,99.16666667,33315.33333,58.83333333,16.66666667,15.5,67.83333333
TX,44.60869565,89.2173913,28064.82609,55.26086957,12.04347826,18.30434783,69.65217391
UT,47.5,94,34074,56.5,5,14,81
VA,63.875,75.5,42522,62.75,6.625,20.25,73.375
VT,51,100,55461.66667,48,3.333333333,0,96.66666667
WA,48.42857143,84,31924.85714,60.57142857,3.285714286,12.85714286,84
WI,53.54545455,93.18181818,35758.27273,62,9.454545455,11.54545455,78.90909091
WV,44.66666667,91.16666667,30215.5,53.16666667,8.833333333,17.66666667,73.66666667
WY,28,94,14236,59,14,26,60